tiempo_s,q_low_gs_sin_preinfusion,q_high_gs_sin_preinfusion
0.0,0.0,0.0
0.1,0.032,0.14
0.2,0.064,0.28
0.3,0.096,0.42
0.4,0.128,0.56
0.5,0.16,0.7
0.6,0.192,0.84
0.7,0.224,0.98
0.8,0.256,1.12
0.9,0.288,1.26
1.0,0.32,1.4
1.1,0.352,1.54
1.2,0.384,1.68
1.3,0.416,1.82
1.4,0.448,1.96
1.5,0.48,2.1
1.6,0.512,2.24
1.7,0.544,2.38
1.8,0.576,2.52
1.9,0.608,2.66
2.0,0.64,2.8
2.1,0.672,2.94
2.2,0.704,3.08
2.3,0.736,3.22
2.4,0.768,3.36
2.5,0.8,3.5
2.6,0.8073,3.4873
2.7,0.8145,3.4745
2.8,0.8218,3.4618
2.9,0.8291,3.4491
3.0,0.8364,3.4364
3.1,0.8436,3.4236
3.2,0.8509,3.4109
3.3,0.8582,3.3982
3.4,0.8655,3.3855
3.5,0.8727,3.3727
3.6,0.88,3.36
3.7,0.8873,3.3473
3.8,0.8945,3.3345
3.9,0.9018,3.3218
4.0,0.9091,3.3091
4.1,0.9164,3.2964
4.2,0.9236,3.2836
4.3,0.9309,3.2709
4.4,0.9382,3.2582
4.5,0.9455,3.2455
4.6,0.9527,3.2327
4.7,0.96,3.22
4.8,0.9673,3.2073
4.9,0.9745,3.1945
5.0,0.9818,3.1818
5.1,0.9891,3.1691
5.2,0.9964,3.1564
5.3,1.0036,3.1436
5.4,1.0109,3.1309
5.5,1.0182,3.1182
5.6,1.0255,3.1055
5.7,1.0327,3.0927
5.8,1.04,3.08
5.9,1.0473,3.0673
6.0,1.0545,3.0545
6.1,1.0618,3.0418
6.2,1.0691,3.0291
6.3,1.0764,3.0164
6.4,1.0836,3.0036
6.5,1.0909,2.9909
6.6,1.0982,2.9782
6.7,1.1055,2.9655
6.8,1.1127,2.9527
6.9,1.12,2.94
7.0,1.1273,2.9273
7.1,1.1345,2.9145
7.2,1.1418,2.9018
7.3,1.1491,2.8891
7.4,1.1564,2.8764
7.5,1.1636,2.8636
7.6,1.1709,2.8509
7.7,1.1782,2.8382
7.8,1.1855,2.8255
7.9,1.1927,2.8127
8.0,1.2,2.8
8.1,1.2,2.7962
8.2,1.2,2.7925
8.3,1.2,2.7888
8.4,1.2,2.785
8.5,1.2,2.7812
8.6,1.2,2.7775
8.7,1.2,2.7737
8.8,1.2,2.77
8.9,1.2,2.7662
